Initialize dataset with 532673 characters, 55 unique.
train.py:81: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-29 23:28] Train Step 0000/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 804.79, Accuracy = 0.02, Loss = 4.032
[2019-11-29 23:28] Train Step 2125/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6960.78, Accuracy = 0.62, Loss = 1.290
[2019-11-29 23:28] Train Step 2130/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6971.44, Accuracy = 0.60, Loss = 1.261
[2019-11-29 23:28] Train Step 2135/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6947.81, Accuracy = 0.59, Loss = 1.339
[2019-11-29 23:28] Train Step 2140/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7018.10, Accuracy = 0.58, Loss = 1.326
[2019-11-29 23:28] Train Step 2145/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6969.09, Accuracy = 0.60, Loss = 1.308
[2019-11-29 23:28] Train Step 2150/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7019.57, Accuracy = 0.59, Loss = 1.332
[2019-11-29 23:28] Train Step 2155/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6956.99, Accuracy = 0.58, Loss = 1.366
[2019-11-29 23:28] Train Step 2160/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6985.96, Accuracy = 0.58, Loss = 1.349
[2019-11-29 23:28] Train Step 2165/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6970.54, Accuracy = 0.61, Loss = 1.244
[2019-11-29 23:28] Train Step 2170/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6998.53, Accuracy = 0.60, Loss = 1.338
[2019-11-29 23:28] Train Step 2175/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6965.29, Accuracy = 0.58, Loss = 1.362
[2019-11-29 23:28] Train Step 2180/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6945.47, Accuracy = 0.60, Loss = 1.296
[2019-11-29 23:28] Train Step 2185/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7015.54, Accuracy = 0.61, Loss = 1.266
[2019-11-29 23:28] Train Step 2190/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.19, Accuracy = 0.58, Loss = 1.357
[2019-11-29 23:28] Train Step 2195/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7054.25, Accuracy = 0.61, Loss = 1.275
[2019-11-29 23:28] Train Step 2200/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7061.12, Accuracy = 0.58, Loss = 1.346
GENERATED SENTENCE at step 2200 ------- [t where the sell was a great trees and the starms

[2019-11-29 23:28] Train Step 2205/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6747.66, Accuracy = 0.60, Loss = 1.317
[2019-11-29 23:28] Train Step 2210/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6792.05, Accuracy = 0.59, Loss = 1.308
[2019-11-29 23:28] Train Step 2215/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6822.78, Accuracy = 0.59, Loss = 1.325
[2019-11-29 23:28] Train Step 2220/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6806.86, Accuracy = 0.61, Loss = 1.287
[2019-11-29 23:28] Train Step 2225/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6820.18, Accuracy = 0.59, Loss = 1.278
[2019-11-29 23:28] Train Step 2230/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6859.04, Accuracy = 0.59, Loss = 1.303
[2019-11-29 23:28] Train Step 2235/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6851.69, Accuracy = 0.60, Loss = 1.298
[2019-11-29 23:28] Train Step 2240/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6828.68, Accuracy = 0.61, Loss = 1.280
[2019-11-29 23:28] Train Step 2245/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6836.51, Accuracy = 0.60, Loss = 1.292
[2019-11-29 23:28] Train Step 2250/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6855.01, Accuracy = 0.59, Loss = 1.307
[2019-11-29 23:28] Train Step 2255/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6759.73, Accuracy = 0.60, Loss = 1.288
[2019-11-29 23:28] Train Step 2260/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6818.62, Accuracy = 0.59, Loss = 1.330
[2019-11-29 23:28] Train Step 2265/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6819.31, Accuracy = 0.59, Loss = 1.304
[2019-11-29 23:28] Train Step 2270/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6838.95, Accuracy = 0.62, Loss = 1.249
[2019-11-29 23:28] Train Step 2275/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6828.16, Accuracy = 0.58, Loss = 1.350
[2019-11-29 23:28] Train Step 2280/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6834.24, Accuracy = 0.60, Loss = 1.295
[2019-11-29 23:28] Train Step 2285/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6888.44, Accuracy = 0.61, Loss = 1.284
[2019-11-29 23:28] Train Step 2290/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6864.13, Accuracy = 0.62, Loss = 1.276
[2019-11-29 23:28] Train Step 2295/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7057.59, Accuracy = 0.61, Loss = 1.277
[2019-11-29 23:28] Train Step 2300/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6840.69, Accuracy = 0.59, Loss = 1.312
GENERATED SENTENCE at step 2300 ------- ut the seak of the work in the world, and the seak

[2019-11-29 23:28] Train Step 2305/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6819.83, Accuracy = 0.60, Loss = 1.292
[2019-11-29 23:28] Train Step 2310/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6747.83, Accuracy = 0.60, Loss = 1.315
[2019-11-29 23:28] Train Step 2315/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6805.83, Accuracy = 0.60, Loss = 1.286
[2019-11-29 23:28] Train Step 2320/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6800.31, Accuracy = 0.60, Loss = 1.315
[2019-11-29 23:28] Train Step 2325/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.02, Accuracy = 0.63, Loss = 1.191
[2019-11-29 23:28] Train Step 2330/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6864.30, Accuracy = 0.59, Loss = 1.257
[2019-11-29 23:28] Train Step 2335/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6892.50, Accuracy = 0.60, Loss = 1.298
[2019-11-29 23:28] Train Step 2340/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6890.20, Accuracy = 0.59, Loss = 1.284
[2019-11-29 23:28] Train Step 2345/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.42, Accuracy = 0.61, Loss = 1.264
[2019-11-29 23:28] Train Step 2350/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6822.43, Accuracy = 0.60, Loss = 1.257
[2019-11-29 23:28] Train Step 2355/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6782.96, Accuracy = 0.61, Loss = 1.269
[2019-11-29 23:28] Train Step 2360/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6820.35, Accuracy = 0.60, Loss = 1.281
[2019-11-29 23:28] Train Step 2365/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6832.33, Accuracy = 0.60, Loss = 1.296
[2019-11-29 23:28] Train Step 2370/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6852.56, Accuracy = 0.59, Loss = 1.312
[2019-11-29 23:28] Train Step 2375/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6882.43, Accuracy = 0.62, Loss = 1.239
[2019-11-29 23:28] Train Step 2380/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6843.83, Accuracy = 0.60, Loss = 1.345
[2019-11-29 23:28] Train Step 2385/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6839.82, Accuracy = 0.59, Loss = 1.276
[2019-11-29 23:28] Train Step 2390/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6755.81, Accuracy = 0.59, Loss = 1.296
[2019-11-29 23:28] Train Step 2395/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6819.66, Accuracy = 0.62, Loss = 1.222
[2019-11-29 23:28] Train Step 2400/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6801.69, Accuracy = 0.58, Loss = 1.315
GENERATED SENTENCE at step 2400 ------- pe which he had a strange of the world, and the bi

[2019-11-29 23:28] Train Step 2405/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6976.88, Accuracy = 0.61, Loss = 1.322
[2019-11-29 23:28] Train Step 2410/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6983.23, Accuracy = 0.59, Loss = 1.307
[2019-11-29 23:28] Train Step 2415/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6873.97, Accuracy = 0.60, Loss = 1.314
[2019-11-29 23:28] Train Step 2420/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.37, Accuracy = 0.63, Loss = 1.213
[2019-11-29 23:28] Train Step 2425/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6825.90, Accuracy = 0.61, Loss = 1.251
[2019-11-29 23:28] Train Step 2430/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6624.76, Accuracy = 0.60, Loss = 1.270
[2019-11-29 23:28] Train Step 2435/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6774.74, Accuracy = 0.60, Loss = 1.282
[2019-11-29 23:28] Train Step 2440/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6777.30, Accuracy = 0.58, Loss = 1.351
[2019-11-29 23:28] Train Step 2445/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6815.16, Accuracy = 0.61, Loss = 1.270
[2019-11-29 23:28] Train Step 2450/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6839.47, Accuracy = 0.58, Loss = 1.355
[2019-11-29 23:29] Train Step 2455/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6813.77, Accuracy = 0.59, Loss = 1.337
[2019-11-29 23:29] Train Step 2460/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6844.18, Accuracy = 0.60, Loss = 1.297
[2019-11-29 23:29] Train Step 2465/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6904.38, Accuracy = 0.61, Loss = 1.241
[2019-11-29 23:29] Train Step 2470/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6855.19, Accuracy = 0.61, Loss = 1.235
[2019-11-29 23:29] Train Step 2475/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6804.45, Accuracy = 0.62, Loss = 1.231
[2019-11-29 23:29] Train Step 2480/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6776.96, Accuracy = 0.61, Loss = 1.282
[2019-11-29 23:29] Train Step 2485/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6748.00, Accuracy = 0.59, Loss = 1.338
[2019-11-29 23:29] Train Step 2490/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6783.81, Accuracy = 0.59, Loss = 1.316
[2019-11-29 23:29] Train Step 2495/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6792.05, Accuracy = 0.60, Loss = 1.263
[2019-11-29 23:29] Train Step 2500/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6830.59, Accuracy = 0.61, Loss = 1.248
GENERATED SENTENCE at step 2500 ------- . then the mother said to him the searched the sea

[2019-11-29 23:29] Train Step 2505/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6945.47, Accuracy = 0.60, Loss = 1.251
[2019-11-29 23:29] Train Step 2510/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6919.33, Accuracy = 0.60, Loss = 1.234
[2019-11-29 23:29] Train Step 2515/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6937.21, Accuracy = 0.60, Loss = 1.283
[2019-11-29 23:29] Train Step 2520/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6933.45, Accuracy = 0.61, Loss = 1.254
[2019-11-29 23:29] Train Step 2525/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7028.03, Accuracy = 0.61, Loss = 1.284
[2019-11-29 23:29] Train Step 2530/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6809.63, Accuracy = 0.62, Loss = 1.204
[2019-11-29 23:29] Train Step 2535/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6846.80, Accuracy = 0.59, Loss = 1.321
[2019-11-29 23:29] Train Step 2540/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6876.61, Accuracy = 0.60, Loss = 1.298
[2019-11-29 23:29] Train Step 2545/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6710.72, Accuracy = 0.63, Loss = 1.240
[2019-11-29 23:29] Train Step 2550/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6867.82, Accuracy = 0.60, Loss = 1.255
[2019-11-29 23:29] Train Step 2555/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6784.33, Accuracy = 0.61, Loss = 1.334
[2019-11-29 23:29] Train Step 2560/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6799.45, Accuracy = 0.60, Loss = 1.312
[2019-11-29 23:29] Train Step 2565/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6800.83, Accuracy = 0.60, Loss = 1.244
[2019-11-29 23:29] Train Step 2570/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.24, Accuracy = 0.60, Loss = 1.270
[2019-11-29 23:29] Train Step 2575/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6819.14, Accuracy = 0.61, Loss = 1.236
[2019-11-29 23:29] Train Step 2580/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6797.56, Accuracy = 0.60, Loss = 1.253
[2019-11-29 23:29] Train Step 2585/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6858.17, Accuracy = 0.61, Loss = 1.257
[2019-11-29 23:29] Train Step 2590/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6831.11, Accuracy = 0.61, Loss = 1.208
[2019-11-29 23:29] Train Step 2595/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6860.09, Accuracy = 0.59, Loss = 1.278
[2019-11-29 23:29] Train Step 2600/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6822.61, Accuracy = 0.61, Loss = 1.246
GENERATED SENTENCE at step 2600 ------- bed the stream that the second could not see the w

[2019-11-29 23:29] Train Step 2605/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6942.95, Accuracy = 0.62, Loss = 1.238
[2019-11-29 23:29] Train Step 2610/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6925.40, Accuracy = 0.60, Loss = 1.276
[2019-11-29 23:29] Train Step 2615/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6973.98, Accuracy = 0.59, Loss = 1.314
[2019-11-29 23:29] Train Step 2620/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6955.01, Accuracy = 0.63, Loss = 1.231
[2019-11-29 23:29] Train Step 2625/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6984.87, Accuracy = 0.61, Loss = 1.236
[2019-11-29 23:29] Train Step 2630/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6992.15, Accuracy = 0.60, Loss = 1.296
[2019-11-29 23:29] Train Step 2635/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6989.60, Accuracy = 0.61, Loss = 1.294
[2019-11-29 23:29] Train Step 2640/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7019.20, Accuracy = 0.61, Loss = 1.257
[2019-11-29 23:29] Train Step 2645/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6927.19, Accuracy = 0.61, Loss = 1.260
[2019-11-29 23:29] Train Step 2650/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6897.11, Accuracy = 0.61, Loss = 1.241
[2019-11-29 23:29] Train Step 2655/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6915.41, Accuracy = 0.59, Loss = 1.336
[2019-11-29 23:29] Train Step 2660/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6971.08, Accuracy = 0.60, Loss = 1.292
[2019-11-29 23:29] Train Step 2665/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7000.35, Accuracy = 0.61, Loss = 1.292
[2019-11-29 23:29] Train Step 2670/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7001.63, Accuracy = 0.60, Loss = 1.271
[2019-11-29 23:29] Train Step 2675/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6983.60, Accuracy = 0.60, Loss = 1.291
[2019-11-29 23:29] Train Step 2680/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6899.59, Accuracy = 0.61, Loss = 1.276
[2019-11-29 23:29] Train Step 2685/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7032.26, Accuracy = 0.61, Loss = 1.285
[2019-11-29 23:29] Train Step 2690/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7028.03, Accuracy = 0.60, Loss = 1.317
[2019-11-29 23:29] Train Step 2695/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7019.76, Accuracy = 0.59, Loss = 1.297
[2019-11-29 23:29] Train Step 2700/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6991.42, Accuracy = 0.61, Loss = 1.283
GENERATED SENTENCE at step 2700 ------- qut that he was so played the castle of the court 

[2019-11-29 23:29] Train Step 2705/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6819.14, Accuracy = 0.62, Loss = 1.197
[2019-11-29 23:29] Train Step 2710/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.24, Accuracy = 0.59, Loss = 1.323
[2019-11-29 23:29] Train Step 2715/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.72, Accuracy = 0.61, Loss = 1.238
[2019-11-29 23:29] Train Step 2720/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6846.10, Accuracy = 0.61, Loss = 1.274
[2019-11-29 23:29] Train Step 2725/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6835.46, Accuracy = 0.60, Loss = 1.271
[2019-11-29 23:29] Train Step 2730/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6735.47, Accuracy = 0.60, Loss = 1.302
[2019-11-29 23:29] Train Step 2735/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6793.94, Accuracy = 0.60, Loss = 1.292
[2019-11-29 23:29] Train Step 2740/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6805.83, Accuracy = 0.62, Loss = 1.210
[2019-11-29 23:29] Train Step 2745/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6786.56, Accuracy = 0.60, Loss = 1.303
[2019-11-29 23:29] Train Step 2750/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6676.67, Accuracy = 0.62, Loss = 1.219
[2019-11-29 23:29] Train Step 2755/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6784.84, Accuracy = 0.58, Loss = 1.312
[2019-11-29 23:29] Train Step 2760/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6845.22, Accuracy = 0.62, Loss = 1.255
[2019-11-29 23:29] Train Step 2765/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6853.26, Accuracy = 0.61, Loss = 1.275
[2019-11-29 23:29] Train Step 2770/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6860.62, Accuracy = 0.61, Loss = 1.234
[2019-11-29 23:29] Train Step 2775/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6886.49, Accuracy = 0.60, Loss = 1.248
[2019-11-29 23:29] Train Step 2780/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6845.05, Accuracy = 0.60, Loss = 1.254
[2019-11-29 23:29] Train Step 2785/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6829.72, Accuracy = 0.62, Loss = 1.221
[2019-11-29 23:29] Train Step 2790/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6772.17, Accuracy = 0.60, Loss = 1.289
[2019-11-29 23:29] Train Step 2795/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6773.20, Accuracy = 0.62, Loss = 1.222
[2019-11-29 23:29] Train Step 2800/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6804.97, Accuracy = 0.60, Loss = 1.280
GENERATED SENTENCE at step 2800 ------- 8 ants were so princess and the second strange woo

[2019-11-29 23:29] Train Step 2805/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6754.96, Accuracy = 0.61, Loss = 1.255
[2019-11-29 23:29] Train Step 2810/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.59, Accuracy = 0.60, Loss = 1.240
[2019-11-29 23:29] Train Step 2815/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6831.98, Accuracy = 0.60, Loss = 1.274
[2019-11-29 23:29] Train Step 2820/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6838.95, Accuracy = 0.61, Loss = 1.282
[2019-11-29 23:29] Train Step 2825/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6876.44, Accuracy = 0.60, Loss = 1.290
[2019-11-29 23:29] Train Step 2830/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6889.32, Accuracy = 0.61, Loss = 1.211
[2019-11-29 23:29] Train Step 2835/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6868.17, Accuracy = 0.61, Loss = 1.272
[2019-11-29 23:29] Train Step 2840/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6809.45, Accuracy = 0.62, Loss = 1.249
[2019-11-29 23:29] Train Step 2845/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6786.38, Accuracy = 0.60, Loss = 1.279
[2019-11-29 23:29] Train Step 2850/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6811.70, Accuracy = 0.59, Loss = 1.345
[2019-11-29 23:29] Train Step 2855/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6772.86, Accuracy = 0.61, Loss = 1.290
[2019-11-29 23:29] Train Step 2860/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6826.08, Accuracy = 0.62, Loss = 1.234
[2019-11-29 23:29] Train Step 2865/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6840.17, Accuracy = 0.61, Loss = 1.235
[2019-11-29 23:29] Train Step 2870/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6874.85, Accuracy = 0.61, Loss = 1.236
[2019-11-29 23:29] Train Step 2875/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6885.43, Accuracy = 0.62, Loss = 1.265
[2019-11-29 23:29] Train Step 2880/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6844.35, Accuracy = 0.62, Loss = 1.246
[2019-11-29 23:29] Train Step 2885/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6818.62, Accuracy = 0.62, Loss = 1.252
[2019-11-29 23:29] Train Step 2890/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6310.19, Accuracy = 0.61, Loss = 1.240
[2019-11-29 23:29] Train Step 2895/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6774.91, Accuracy = 0.63, Loss = 1.221
[2019-11-29 23:29] Train Step 2900/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6761.43, Accuracy = 0.59, Loss = 1.275
GENERATED SENTENCE at step 2900 ------- 6 she went to the wood and said, i will give you a

[2019-11-29 23:29] Train Step 2905/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.07, Accuracy = 0.63, Loss = 1.200
[2019-11-29 23:29] Train Step 2910/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6864.13, Accuracy = 0.60, Loss = 1.279
[2019-11-29 23:29] Train Step 2915/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6892.86, Accuracy = 0.59, Loss = 1.357
[2019-11-29 23:29] Train Step 2920/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6843.30, Accuracy = 0.62, Loss = 1.243
[2019-11-29 23:29] Train Step 2925/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6817.41, Accuracy = 0.60, Loss = 1.212
[2019-11-29 23:29] Train Step 2930/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6798.07, Accuracy = 0.62, Loss = 1.222
[2019-11-29 23:29] Train Step 2935/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6813.08, Accuracy = 0.61, Loss = 1.276
[2019-11-29 23:29] Train Step 2940/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6825.56, Accuracy = 0.62, Loss = 1.215
[2019-11-29 23:29] Train Step 2945/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6803.93, Accuracy = 0.61, Loss = 1.227
[2019-11-29 23:29] Train Step 2950/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6849.94, Accuracy = 0.61, Loss = 1.275
[2019-11-29 23:29] Train Step 2955/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6814.47, Accuracy = 0.60, Loss = 1.285
[2019-11-29 23:29] Train Step 2960/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6849.42, Accuracy = 0.60, Loss = 1.267
[2019-11-29 23:29] Train Step 2965/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6882.08, Accuracy = 0.61, Loss = 1.205
[2019-11-29 23:29] Train Step 2970/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6888.79, Accuracy = 0.60, Loss = 1.308
[2019-11-29 23:29] Train Step 2975/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6836.68, Accuracy = 0.61, Loss = 1.236
[2019-11-29 23:29] Train Step 2980/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6747.15, Accuracy = 0.60, Loss = 1.325
[2019-11-29 23:29] Train Step 2985/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6829.90, Accuracy = 0.62, Loss = 1.260
[2019-11-29 23:29] Train Step 2990/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6787.93, Accuracy = 0.60, Loss = 1.257
[2019-11-29 23:29] Train Step 2995/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6842.61, Accuracy = 0.61, Loss = 1.245
[2019-11-29 23:29] Train Step 3000/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6867.99, Accuracy = 0.60, Loss = 1.253
GENERATED SENTENCE at step 3000 ------- hed the starms the seak of the wood, and the seak 

[2019-11-29 23:29] Train Step 3005/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6807.21, Accuracy = 0.59, Loss = 1.268
[2019-11-29 23:29] Train Step 3010/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6741.39, Accuracy = 0.60, Loss = 1.260
[2019-11-29 23:29] Train Step 3015/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6803.24, Accuracy = 0.61, Loss = 1.251
[2019-11-29 23:29] Train Step 3020/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6739.87, Accuracy = 0.63, Loss = 1.170
[2019-11-29 23:29] Train Step 3025/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6793.77, Accuracy = 0.62, Loss = 1.256
[2019-11-29 23:29] Train Step 3030/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6823.99, Accuracy = 0.62, Loss = 1.186
