dnn_hidden_units : 100
learning_rate : 0.002
max_steps : 1500
batch_size : 200
eval_freq : 1
data_dir : ./cifar10/cifar-10-batches-py
neg_slope : 0.02
plot : 1
n_inputs 3072, n_classes 10
[DEBUG] start training
iter 0, avg loss train 2.3026090892140365, test loss 2.302488196494763, train acc 0.065, test acc 0.1601
iter 278, avg loss train 1.806225422377908, test loss 1.6964500111102232, train acc 0.395, test acc 0.39
iter 279, avg loss train 1.8056300741763023, test loss 1.6086502186489127, train acc 0.47, test acc 0.4295
iter 280, avg loss train 1.8047661778826454, test loss 1.6277346070687515, train acc 0.475, test acc 0.4207
iter 281, avg loss train 1.8039453317875418, test loss 1.6061758791264873, train acc 0.4, test acc 0.4224
iter 282, avg loss train 1.8030719870063197, test loss 1.6129754811692207, train acc 0.43, test acc 0.4281
iter 283, avg loss train 1.802256225653639, test loss 1.606378842005979, train acc 0.43, test acc 0.4301
iter 284, avg loss train 1.8017480052281858, test loss 1.6403116359929015, train acc 0.415, test acc 0.4153
iter 285, avg loss train 1.8007526874401283, test loss 1.605808067900567, train acc 0.445, test acc 0.4252
iter 286, avg loss train 1.79973927407503, test loss 1.6302541298045423, train acc 0.445, test acc 0.4229
iter 287, avg loss train 1.7997122388998494, test loss 1.6100465088189888, train acc 0.4, test acc 0.4272
iter 288, avg loss train 1.7989736103252327, test loss 1.5964879891153037, train acc 0.455, test acc 0.4323
iter 289, avg loss train 1.798316972224113, test loss 1.6379188862271399, train acc 0.435, test acc 0.4214
iter 290, avg loss train 1.7975830490246372, test loss 1.6474286361825377, train acc 0.455, test acc 0.4163
iter 291, avg loss train 1.7967816871335798, test loss 1.6150017212909253, train acc 0.475, test acc 0.4252
iter 292, avg loss train 1.7962173167577469, test loss 1.6521485975104948, train acc 0.38, test acc 0.4084
iter 293, avg loss train 1.7953657726640908, test loss 1.6015766297072924, train acc 0.46, test acc 0.4277
iter 294, avg loss train 1.794404343918756, test loss 1.619659219474532, train acc 0.44, test acc 0.4273
iter 295, avg loss train 1.793770808081392, test loss 1.6076187380924847, train acc 0.42, test acc 0.4351
iter 296, avg loss train 1.7934318000878193, test loss 1.6607141653388997, train acc 0.415, test acc 0.4135
iter 297, avg loss train 1.7928582399820465, test loss 1.6297040503868543, train acc 0.44, test acc 0.4217
iter 298, avg loss train 1.7921066671002381, test loss 1.6030290980914321, train acc 0.45, test acc 0.4366
iter 299, avg loss train 1.791381864046656, test loss 1.6548700797926765, train acc 0.435, test acc 0.4208
iter 300, avg loss train 1.7915787216318049, test loss 1.6809181342121684, train acc 0.335, test acc 0.4056
iter 301, avg loss train 1.7912224938350054, test loss 1.674139732579518, train acc 0.365, test acc 0.4032
iter 302, avg loss train 1.7910036067345823, test loss 1.6213129838207347, train acc 0.385, test acc 0.4156
iter 303, avg loss train 1.7907706272106514, test loss 1.6549677922127242, train acc 0.35, test acc 0.4009
iter 304, avg loss train 1.790386052637846, test loss 1.640465837435073, train acc 0.415, test acc 0.4254
iter 305, avg loss train 1.7897244423934011, test loss 1.5940048256588473, train acc 0.445, test acc 0.4344
iter 306, avg loss train 1.7892780153760446, test loss 1.6225187845549596, train acc 0.445, test acc 0.4266
iter 307, avg loss train 1.7880864462815407, test loss 1.6341313766247383, train acc 0.5, test acc 0.4135
iter 308, avg loss train 1.7875581239841078, test loss 1.6213557912063639, train acc 0.435, test acc 0.4184
iter 309, avg loss train 1.787052684666477, test loss 1.6354705805426397, train acc 0.43, test acc 0.4161
iter 310, avg loss train 1.7861999166979314, test loss 1.5920370648362263, train acc 0.425, test acc 0.4323
iter 311, avg loss train 1.7860294281651272, test loss 1.622546034365449, train acc 0.38, test acc 0.4205
iter 312, avg loss train 1.7855129987428955, test loss 1.5994397438234698, train acc 0.385, test acc 0.4263
iter 313, avg loss train 1.7851959109964182, test loss 1.5855761458832687, train acc 0.41, test acc 0.4392
iter 314, avg loss train 1.7847775607250302, test loss 1.5997026879614096, train acc 0.415, test acc 0.4288
iter 315, avg loss train 1.7843090316320656, test loss 1.6181341316496018, train acc 0.465, test acc 0.4151
iter 316, avg loss train 1.7833821671140047, test loss 1.6021089520519194, train acc 0.455, test acc 0.4289
iter 317, avg loss train 1.7824756264171484, test loss 1.6085479914295402, train acc 0.485, test acc 0.4167
iter 318, avg loss train 1.7816346514497359, test loss 1.6316557150082571, train acc 0.46, test acc 0.4118
iter 319, avg loss train 1.7815273129628753, test loss 1.6080699048624962, train acc 0.36, test acc 0.4283
iter 320, avg loss train 1.7807320865979168, test loss 1.5853263217656695, train acc 0.46, test acc 0.435
iter 321, avg loss train 1.7801953217373783, test loss 1.6172253547530837, train acc 0.45, test acc 0.428
iter 322, avg loss train 1.7797068964106957, test loss 1.653205332103867, train acc 0.44, test acc 0.4112
iter 323, avg loss train 1.7790902152100618, test loss 1.602193376351734, train acc 0.44, test acc 0.4244
iter 324, avg loss train 1.778424152624691, test loss 1.5932878842698244, train acc 0.46, test acc 0.4323
iter 325, avg loss train 1.7780566532343947, test loss 1.6453829642553646, train acc 0.4, test acc 0.4155
iter 326, avg loss train 1.7776798369203735, test loss 1.5940853911183988, train acc 0.425, test acc 0.4324
iter 327, avg loss train 1.7772812551310757, test loss 1.5832359566751508, train acc 0.42, test acc 0.4363
iter 328, avg loss train 1.7764204562527166, test loss 1.6058864488872582, train acc 0.475, test acc 0.4268
iter 329, avg loss train 1.775906695542631, test loss 1.6147269209705153, train acc 0.42, test acc 0.4146
iter 330, avg loss train 1.77540771070402, test loss 1.6096622695207006, train acc 0.42, test acc 0.4192
iter 331, avg loss train 1.7749494007126665, test loss 1.6191414555705117, train acc 0.415, test acc 0.4254
iter 332, avg loss train 1.7743384421997426, test loss 1.5811783854765573, train acc 0.45, test acc 0.4334
iter 333, avg loss train 1.7737485201208685, test loss 1.6472253436189668, train acc 0.455, test acc 0.4147
iter 334, avg loss train 1.7733774655430294, test loss 1.5748805392042298, train acc 0.455, test acc 0.438
iter 335, avg loss train 1.772808259191984, test loss 1.6205458830369484, train acc 0.48, test acc 0.4312
iter 336, avg loss train 1.7724338499594237, test loss 1.6575404821336968, train acc 0.42, test acc 0.4116
iter 337, avg loss train 1.7718585581121546, test loss 1.642680756034725, train acc 0.44, test acc 0.4168
iter 338, avg loss train 1.771384407058624, test loss 1.6077294286057986, train acc 0.45, test acc 0.4294
iter 339, avg loss train 1.7707413689450775, test loss 1.6958895594440209, train acc 0.4, test acc 0.4082
iter 340, avg loss train 1.770381599038194, test loss 1.6316626688257192, train acc 0.45, test acc 0.4088
iter 341, avg loss train 1.7696649972266996, test loss 1.6139128531854525, train acc 0.465, test acc 0.4151
iter 342, avg loss train 1.7695962532180736, test loss 1.5938895373835211, train acc 0.405, test acc 0.432
iter 343, avg loss train 1.7692148575320232, test loss 1.6029483545186736, train acc 0.455, test acc 0.4274
iter 344, avg loss train 1.7688886495951759, test loss 1.6036321597152667, train acc 0.42, test acc 0.4241
iter 345, avg loss train 1.7683249761940656, test loss 1.5868869227122095, train acc 0.44, test acc 0.4395
iter 346, avg loss train 1.7680978264409637, test loss 1.644893708109286, train acc 0.415, test acc 0.4101
iter 347, avg loss train 1.7676330709248664, test loss 1.6146680487398086, train acc 0.445, test acc 0.4329
iter 348, avg loss train 1.7672434099296506, test loss 1.6217874123030407, train acc 0.41, test acc 0.4211
iter 349, avg loss train 1.7667464334818987, test loss 1.6204022485520833, train acc 0.5, test acc 0.4155
iter 350, avg loss train 1.766061542970752, test loss 1.606073477495267, train acc 0.455, test acc 0.4257
iter 351, avg loss train 1.765137381062164, test loss 1.588010867953255, train acc 0.515, test acc 0.4394
iter 352, avg loss train 1.7647760660452259, test loss 1.6052234500573048, train acc 0.44, test acc 0.4361
iter 353, avg loss train 1.764165284925109, test loss 1.5616149069186838, train acc 0.445, test acc 0.4437
iter 354, avg loss train 1.763597078931331, test loss 1.5727600204907555, train acc 0.405, test acc 0.4412
iter 355, avg loss train 1.7632646381598025, test loss 1.60288287355889, train acc 0.465, test acc 0.4245
iter 356, avg loss train 1.762576617879781, test loss 1.5933110197275269, train acc 0.43, test acc 0.4342
iter 357, avg loss train 1.762270899879267, test loss 1.6184253733628282, train acc 0.425, test acc 0.4189
iter 358, avg loss train 1.7615830325392752, test loss 1.7022134356233685, train acc 0.475, test acc 0.4016
iter 359, avg loss train 1.7611446995307498, test loss 1.6016245943621927, train acc 0.385, test acc 0.4334
iter 360, avg loss train 1.7606795545648732, test loss 1.6947232931800535, train acc 0.43, test acc 0.3932
iter 361, avg loss train 1.760258282502019, test loss 1.7052005837795798, train acc 0.455, test acc 0.3981
iter 362, avg loss train 1.7596444758463228, test loss 1.6128712621580144, train acc 0.43, test acc 0.4268
iter 363, avg loss train 1.7592513627686917, test loss 1.6970692605056923, train acc 0.47, test acc 0.3969
iter 364, avg loss train 1.7588201761360966, test loss 1.6818674775794982, train acc 0.405, test acc 0.4104
iter 365, avg loss train 1.7584641367157527, test loss 1.6055103495777137, train acc 0.4, test acc 0.4398
iter 366, avg loss train 1.7579551235405286, test loss 1.592541249880167, train acc 0.44, test acc 0.4403
iter 367, avg loss train 1.7577029877922674, test loss 1.652298102705775, train acc 0.415, test acc 0.4181
iter 368, avg loss train 1.7576277796697515, test loss 1.6827898205529208, train acc 0.415, test acc 0.4082
iter 369, avg loss train 1.7576795926091688, test loss 1.74928369281937, train acc 0.35, test acc 0.3948
iter 370, avg loss train 1.7577667117801181, test loss 1.7322729543767112, train acc 0.35, test acc 0.4062
iter 371, avg loss train 1.7578695347407345, test loss 1.7177462091587534, train acc 0.395, test acc 0.3869
iter 372, avg loss train 1.7576268493542546, test loss 1.5856042204014267, train acc 0.41, test acc 0.4317
iter 373, avg loss train 1.757072509372094, test loss 1.6080400220761706, train acc 0.385, test acc 0.4281
iter 374, avg loss train 1.7563922901656606, test loss 1.5685065215056648, train acc 0.485, test acc 0.4442
iter 375, avg loss train 1.7560799155989029, test loss 1.6072735835152714, train acc 0.48, test acc 0.4334
iter 376, avg loss train 1.755497154465462, test loss 1.5910066240486922, train acc 0.4, test acc 0.4344
iter 377, avg loss train 1.7551434906468903, test loss 1.6038412110638345, train acc 0.39, test acc 0.4225
iter 378, avg loss train 1.7544504015285398, test loss 1.5903352884184603, train acc 0.45, test acc 0.4312
iter 379, avg loss train 1.7538713341268428, test loss 1.6519250829018053, train acc 0.475, test acc 0.4159
iter 380, avg loss train 1.753641497334274, test loss 1.6265979480661017, train acc 0.46, test acc 0.4209
iter 381, avg loss train 1.7532381879190244, test loss 1.603817521128561, train acc 0.43, test acc 0.4298
iter 382, avg loss train 1.753328567586343, test loss 1.6517954011961367, train acc 0.42, test acc 0.4198
iter 383, avg loss train 1.7531263434139586, test loss 1.6238959218075633, train acc 0.42, test acc 0.4206
iter 384, avg loss train 1.7529420039072958, test loss 1.6247993903420843, train acc 0.445, test acc 0.4258
iter 385, avg loss train 1.752497359661857, test loss 1.5604138681474244, train acc 0.41, test acc 0.4507
iter 386, avg loss train 1.7519242343788164, test loss 1.5894502534302535, train acc 0.385, test acc 0.4366
iter 387, avg loss train 1.7515540038068211, test loss 1.6302629487407096, train acc 0.435, test acc 0.427
iter 388, avg loss train 1.7511816643665512, test loss 1.5906069989721654, train acc 0.415, test acc 0.4291
iter 389, avg loss train 1.7508029103015517, test loss 1.6082008971647461, train acc 0.455, test acc 0.4267
iter 390, avg loss train 1.7504729116728217, test loss 1.5622171214864304, train acc 0.42, test acc 0.4439
iter 391, avg loss train 1.750053246141001, test loss 1.591321519447167, train acc 0.4, test acc 0.4277
iter 392, avg loss train 1.7496483358601709, test loss 1.5659211325087679, train acc 0.505, test acc 0.4417
iter 393, avg loss train 1.7492597945392312, test loss 1.5744159970064726, train acc 0.45, test acc 0.4458
iter 394, avg loss train 1.7489084183009416, test loss 1.6589998935084052, train acc 0.45, test acc 0.4088
iter 395, avg loss train 1.7484308371583819, test loss 1.5746729271209052, train acc 0.455, test acc 0.4448
iter 396, avg loss train 1.7479474867701734, test loss 1.6456460746520547, train acc 0.44, test acc 0.4247
iter 397, avg loss train 1.7477461689563614, test loss 1.6146616098203181, train acc 0.37, test acc 0.4312
iter 398, avg loss train 1.747435925508364, test loss 1.7119177105447378, train acc 0.48, test acc 0.4102
iter 399, avg loss train 1.7472542111510472, test loss 1.7314968621569722, train acc 0.43, test acc 0.4204
iter 400, avg loss train 1.7473109783599219, test loss 1.587450552870789, train acc 0.405, test acc 0.4339
iter 401, avg loss train 1.7466390272355157, test loss 1.569613703727009, train acc 0.515, test acc 0.4432
iter 402, avg loss train 1.746204361795828, test loss 1.5604033886436683, train acc 0.47, test acc 0.4452
iter 403, avg loss train 1.7455593250479802, test loss 1.5809810693857014, train acc 0.505, test acc 0.4379
iter 404, avg loss train 1.745011126601148, test loss 1.5657471270480938, train acc 0.455, test acc 0.44
iter 405, avg loss train 1.7444040141566657, test loss 1.5891029046210865, train acc 0.465, test acc 0.4333
iter 406, avg loss train 1.744068834120034, test loss 1.645814603386312, train acc 0.42, test acc 0.4207
iter 407, avg loss train 1.7438930868677038, test loss 1.583282315360546, train acc 0.375, test acc 0.431
iter 408, avg loss train 1.74341670178227, test loss 1.5584151272484086, train acc 0.445, test acc 0.4452
iter 409, avg loss train 1.743042418085455, test loss 1.5980339790215397, train acc 0.43, test acc 0.4408
iter 410, avg loss train 1.742767792755488, test loss 1.576808156671243, train acc 0.405, test acc 0.4423
iter 411, avg loss train 1.7425616848095913, test loss 1.619040470738789, train acc 0.4, test acc 0.407
iter 412, avg loss train 1.7426099724516269, test loss 1.5863179152439628, train acc 0.345, test acc 0.4378
iter 413, avg loss train 1.7423033176696419, test loss 1.5491095995373392, train acc 0.43, test acc 0.4513
iter 414, avg loss train 1.741787472558248, test loss 1.5668359788939714, train acc 0.42, test acc 0.4361
iter 415, avg loss train 1.7412426310613087, test loss 1.5620599895614855, train acc 0.465, test acc 0.4461
iter 416, avg loss train 1.7412260495258132, test loss 1.581591253688288, train acc 0.395, test acc 0.433
iter 417, avg loss train 1.7406461489118907, test loss 1.5708767102359364, train acc 0.455, test acc 0.4404
iter 418, avg loss train 1.7400415689990598, test loss 1.5940347459483821, train acc 0.485, test acc 0.4332
iter 419, avg loss train 1.7400104590345764, test loss 1.6683696995290644, train acc 0.38, test acc 0.4035
iter 420, avg loss train 1.7396852615743974, test loss 1.6182741017271685, train acc 0.42, test acc 0.4406
iter 421, avg loss train 1.739290466721353, test loss 1.5893992641132184, train acc 0.455, test acc 0.4363
iter 422, avg loss train 1.7388651017928822, test loss 1.5797799531519103, train acc 0.44, test acc 0.4409
iter 423, avg loss train 1.738367718230273, test loss 1.5735550830766147, train acc 0.43, test acc 0.4449
iter 424, avg loss train 1.7379217211534617, test loss 1.5619106591153462, train acc 0.465, test acc 0.4457
iter 425, avg loss train 1.7374468756867303, test loss 1.5709846793920315, train acc 0.475, test acc 0.4444
iter 426, avg loss train 1.7368357558361418, test loss 1.584385343687512, train acc 0.455, test acc 0.4341
iter 427, avg loss train 1.7363031310262753, test loss 1.586678050710196, train acc 0.495, test acc 0.4391
iter 428, avg loss train 1.7357976573924874, test loss 1.5957604485140768, train acc 0.46, test acc 0.4349
iter 429, avg loss train 1.7351444899047295, test loss 1.5856676363217967, train acc 0.415, test acc 0.4366
iter 430, avg loss train 1.7347426239922727, test loss 1.5725361142313756, train acc 0.44, test acc 0.4417
iter 431, avg loss train 1.7344861842382466, test loss 1.5550152080869037, train acc 0.475, test acc 0.4472
iter 432, avg loss train 1.7340352294182175, test loss 1.6388217347842542, train acc 0.45, test acc 0.4217
iter 433, avg loss train 1.7343993645910345, test loss 1.7912141923703981, train acc 0.35, test acc 0.3834
iter 434, avg loss train 1.7342041579272474, test loss 1.732096633780011, train acc 0.445, test acc 0.3946
iter 435, avg loss train 1.7343624555362502, test loss 1.7591012494400522, train acc 0.335, test acc 0.3966
iter 436, avg loss train 1.7341320700077847, test loss 1.6518321602908075, train acc 0.45, test acc 0.4326
iter 437, avg loss train 1.7340508979585927, test loss 1.670467967882987, train acc 0.41, test acc 0.4239
iter 438, avg loss train 1.7341133105141329, test loss 1.6476048422327159, train acc 0.365, test acc 0.4242
iter 439, avg loss train 1.7336355880403378, test loss 1.5650692132107402, train acc 0.39, test acc 0.4483
iter 440, avg loss train 1.732931690666706, test loss 1.5532924664555474, train acc 0.53, test acc 0.4503
iter 441, avg loss train 1.732606983571615, test loss 1.5863991409578173, train acc 0.425, test acc 0.4316
iter 442, avg loss train 1.7321389665743847, test loss 1.5575240226679334, train acc 0.45, test acc 0.447
iter 443, avg loss train 1.7319266566540583, test loss 1.5922739569725595, train acc 0.42, test acc 0.434
iter 444, avg loss train 1.731954988883959, test loss 1.6230980866622422, train acc 0.41, test acc 0.4175
iter 445, avg loss train 1.7316294701641106, test loss 1.5586640107059946, train acc 0.46, test acc 0.4446
iter 446, avg loss train 1.7313146217725313, test loss 1.5729423310531592, train acc 0.475, test acc 0.4388
iter 447, avg loss train 1.730998403813833, test loss 1.5356287170870813, train acc 0.415, test acc 0.4549
iter 448, avg loss train 1.730506646315702, test loss 1.5549807453345108, train acc 0.5, test acc 0.4499
iter 449, avg loss train 1.7299076748487743, test loss 1.5924179022684113, train acc 0.48, test acc 0.4276
iter 450, avg loss train 1.729466930555369, test loss 1.587889038193273, train acc 0.495, test acc 0.4419
iter 451, avg loss train 1.7293589483556622, test loss 1.601813274768907, train acc 0.405, test acc 0.4329
iter 452, avg loss train 1.7288471064290145, test loss 1.6217968284900048, train acc 0.5, test acc 0.4354
iter 453, avg loss train 1.7288032956347066, test loss 1.587242511526557, train acc 0.42, test acc 0.4398
iter 454, avg loss train 1.7283013459379322, test loss 1.5947097869237636, train acc 0.475, test acc 0.4298
iter 455, avg loss train 1.7281676222111648, test loss 1.5609715694963988, train acc 0.435, test acc 0.4448
iter 456, avg loss train 1.727659524745714, test loss 1.5577593163108816, train acc 0.425, test acc 0.4433
iter 457, avg loss train 1.7271530484805793, test loss 1.5295642312158357, train acc 0.445, test acc 0.4547
iter 458, avg loss train 1.7269515775915893, test loss 1.618242405025801, train acc 0.37, test acc 0.4291
iter 459, avg loss train 1.7266138493296637, test loss 1.618103193749229, train acc 0.435, test acc 0.4302
iter 460, avg loss train 1.7262542779454786, test loss 1.6107116887240562, train acc 0.46, test acc 0.4304
iter 461, avg loss train 1.7257481455801487, test loss 1.5972931657939817, train acc 0.445, test acc 0.429
iter 462, avg loss train 1.725573694305652, test loss 1.6164963268322206, train acc 0.41, test acc 0.4277
iter 463, avg loss train 1.725498440454941, test loss 1.733414108728051, train acc 0.405, test acc 0.4013
iter 464, avg loss train 1.7253912702011955, test loss 1.5518280165969134, train acc 0.425, test acc 0.4563
iter 465, avg loss train 1.7249513794095455, test loss 1.545075817935863, train acc 0.485, test acc 0.4523
iter 466, avg loss train 1.7246235173118647, test loss 1.6339422856018009, train acc 0.425, test acc 0.4301
iter 467, avg loss train 1.7245109954385167, test loss 1.5653974992079902, train acc 0.445, test acc 0.4422
iter 468, avg loss train 1.7241501530990462, test loss 1.5811790440528846, train acc 0.47, test acc 0.4323
iter 469, avg loss train 1.7240801020980745, test loss 1.5589488096136157, train acc 0.44, test acc 0.448
iter 470, avg loss train 1.7237500807147657, test loss 1.6145234110910194, train acc 0.42, test acc 0.4319
iter 471, avg loss train 1.7233401514882756, test loss 1.5823435839745574, train acc 0.485, test acc 0.4441
iter 472, avg loss train 1.72305688963736, test loss 1.606007180692005, train acc 0.41, test acc 0.4378
iter 473, avg loss train 1.7228935933502516, test loss 1.5881377880447145, train acc 0.455, test acc 0.4427
iter 474, avg loss train 1.7223651574987136, test loss 1.5786395723011482, train acc 0.535, test acc 0.4331
iter 475, avg loss train 1.7220007994857143, test loss 1.546922824426514, train acc 0.465, test acc 0.4555
iter 476, avg loss train 1.7216331127155107, test loss 1.6235881198514306, train acc 0.395, test acc 0.4261
iter 477, avg loss train 1.7216474618662208, test loss 1.5647312200834498, train acc 0.41, test acc 0.4453
iter 478, avg loss train 1.7216460438766454, test loss 1.5961712200575588, train acc 0.41, test acc 0.4273
iter 479, avg loss train 1.7213838974545725, test loss 1.5511648036356505, train acc 0.41, test acc 0.4432
iter 480, avg loss train 1.7210828924963382, test loss 1.5498184707123737, train acc 0.41, test acc 0.4487
iter 481, avg loss train 1.7206294462110125, test loss 1.531004639898818, train acc 0.45, test acc 0.4643
iter 482, avg loss train 1.7203521897297116, test loss 1.5650577500481153, train acc 0.41, test acc 0.4414
iter 483, avg loss train 1.7200494481996713, test loss 1.5898390777711506, train acc 0.4, test acc 0.4332
iter 484, avg loss train 1.7199805059587243, test loss 1.590092264007404, train acc 0.41, test acc 0.4411
iter 485, avg loss train 1.7199603705648023, test loss 1.5688363353648755, train acc 0.425, test acc 0.442
iter 486, avg loss train 1.7197286720248428, test loss 1.5825839012099003, train acc 0.47, test acc 0.4477
iter 487, avg loss train 1.719185842837817, test loss 1.5500480375883032, train acc 0.525, test acc 0.4529
iter 488, avg loss train 1.7187020007661526, test loss 1.5572129110596018, train acc 0.465, test acc 0.4479
iter 489, avg loss train 1.7182953120412694, test loss 1.5350901109167419, train acc 0.49, test acc 0.4578
iter 490, avg loss train 1.7178390926955773, test loss 1.547111879394707, train acc 0.465, test acc 0.4508
iter 491, avg loss train 1.7175640998310238, test loss 1.5937266290316392, train acc 0.46, test acc 0.4359
iter 492, avg loss train 1.7173735950028313, test loss 1.562865179688823, train acc 0.435, test acc 0.441
iter 493, avg loss train 1.7169394740902382, test loss 1.543414895963928, train acc 0.47, test acc 0.4507
iter 494, avg loss train 1.7164732050322986, test loss 1.549135553071678, train acc 0.52, test acc 0.4543
iter 495, avg loss train 1.7160855094599021, test loss 1.5649415549939536, train acc 0.47, test acc 0.4455
iter 496, avg loss train 1.7157061506002516, test loss 1.5538887460159034, train acc 0.445, test acc 0.4512
iter 497, avg loss train 1.7154398330272194, test loss 1.556403170744005, train acc 0.465, test acc 0.4533
iter 498, avg loss train 1.7150007076385683, test loss 1.5354162106021918, train acc 0.47, test acc 0.4539
iter 499, avg loss train 1.7147440202849678, test loss 1.6529311318439794, train acc 0.47, test acc 0.4226
iter 500, avg loss train 1.7143895308224464, test loss 1.6280169311123234, train acc 0.495, test acc 0.4257
iter 501, avg loss train 1.7138999926872636, test loss 1.523120209738354, train acc 0.46, test acc 0.462
iter 502, avg loss train 1.7133430594324879, test loss 1.5162056775316537, train acc 0.505, test acc 0.4686
iter 503, avg loss train 1.7126513342025984, test loss 1.5912622726372632, train acc 0.51, test acc 0.4311
iter 504, avg loss train 1.7122734903347356, test loss 1.6105341925690124, train acc 0.465, test acc 0.4181
iter 505, avg loss train 1.7122177378766033, test loss 1.5936914593442375, train acc 0.395, test acc 0.432
iter 506, avg loss train 1.7117091505647914, test loss 1.568721995998226, train acc 0.495, test acc 0.4414
iter 507, avg loss train 1.7113760284843176, test loss 1.60985669510078, train acc 0.495, test acc 0.4256
iter 508, avg loss train 1.7111849269188837, test loss 1.6258817816975413, train acc 0.42, test acc 0.42
iter 509, avg loss train 1.710907423667956, test loss 1.592659229032369, train acc 0.465, test acc 0.4308
iter 510, avg loss train 1.7104712584414352, test loss 1.5622531713322905, train acc 0.52, test acc 0.4433
iter 511, avg loss train 1.7100715333788281, test loss 1.6164175959011962, train acc 0.485, test acc 0.4154
iter 512, avg loss train 1.7097668113686484, test loss 1.6446092564396086, train acc 0.395, test acc 0.4217
iter 513, avg loss train 1.7096252547267154, test loss 1.6047169957617988, train acc 0.43, test acc 0.4293
iter 514, avg loss train 1.709411039323357, test loss 1.596021361500738, train acc 0.41, test acc 0.4362
iter 515, avg loss train 1.709016510178979, test loss 1.5581881213107482, train acc 0.455, test acc 0.4458
iter 516, avg loss train 1.7086488684854721, test loss 1.5290412545979781, train acc 0.485, test acc 0.4577
iter 517, avg loss train 1.7081153856192455, test loss 1.5368095895223928, train acc 0.48, test acc 0.4512
iter 518, avg loss train 1.7077323331378365, test loss 1.6449255114860177, train acc 0.445, test acc 0.4171
iter 519, avg loss train 1.7075817313794681, test loss 1.6563681059163053, train acc 0.425, test acc 0.4176
iter 520, avg loss train 1.7073651226758484, test loss 1.5776790402848657, train acc 0.495, test acc 0.4325
iter 521, avg loss train 1.7069249570061646, test loss 1.5511916215845583, train acc 0.46, test acc 0.4491
iter 522, avg loss train 1.7064861812302474, test loss 1.5371055786329662, train acc 0.5, test acc 0.458
iter 523, avg loss train 1.7061786939025128, test loss 1.574923112719839, train acc 0.45, test acc 0.4356
iter 524, avg loss train 1.705798853789867, test loss 1.5758599022945154, train acc 0.445, test acc 0.4313
iter 525, avg loss train 1.7052794110982834, test loss 1.5322017028027446, train acc 0.45, test acc 0.4555
iter 526, avg loss train 1.7049800506133395, test loss 1.558638663823459, train acc 0.455, test acc 0.4423
iter 527, avg loss train 1.7042903115897154, test loss 1.5329198305090355, train acc 0.52, test acc 0.4583
iter 528, avg loss train 1.7037283549644722, test loss 1.5699375943727314, train acc 0.47, test acc 0.4492
iter 529, avg loss train 1.7034945818966758, test loss 1.5426876520145683, train acc 0.42, test acc 0.4521
iter 530, avg loss train 1.703088313179247, test loss 1.5350622249794617, train acc 0.485, test acc 0.4576
iter 531, avg loss train 1.7025480138718123, test loss 1.6009662402232436, train acc 0.505, test acc 0.4398
iter 532, avg loss train 1.7024348074834168, test loss 1.5468001080483682, train acc 0.44, test acc 0.4539
iter 533, avg loss train 1.7020371378951333, test loss 1.5240739080319508, train acc 0.5, test acc 0.4584
iter 534, avg loss train 1.7017771766867884, test loss 1.5641794702314196, train acc 0.455, test acc 0.4363
iter 535, avg loss train 1.7015139650324909, test loss 1.5882194167290316, train acc 0.46, test acc 0.4399
iter 536, avg loss train 1.701190620088585, test loss 1.6356744195124115, train acc 0.435, test acc 0.4164
iter 537, avg loss train 1.7009673187237773, test loss 1.6178865444690558, train acc 0.41, test acc 0.4312
iter 538, avg loss train 1.7006492203315007, test loss 1.5465152594206246, train acc 0.475, test acc 0.4581
iter 539, avg loss train 1.7002981678868054, test loss 1.5854085362590506, train acc 0.415, test acc 0.4355
iter 540, avg loss train 1.6999983976130362, test loss 1.7338802041022885, train acc 0.435, test acc 0.4075
iter 541, avg loss train 1.6997869938403298, test loss 1.565824436204672, train acc 0.45, test acc 0.4351
iter 542, avg loss train 1.6995366099395601, test loss 1.5457233350149069, train acc 0.43, test acc 0.4489
iter 543, avg loss train 1.6989251147778615, test loss 1.5737101101867603, train acc 0.52, test acc 0.4357
iter 544, avg loss train 1.6983941889771537, test loss 1.5894396352809697, train acc 0.495, test acc 0.4277
iter 545, avg loss train 1.698017065574342, test loss 1.5727600759501328, train acc 0.49, test acc 0.4416
iter 546, avg loss train 1.6976486710364984, test loss 1.620277566294522, train acc 0.48, test acc 0.4337
iter 547, avg loss train 1.6973321950630824, test loss 1.5823603480121258, train acc 0.45, test acc 0.4298
iter 548, avg loss train 1.696883478420506, test loss 1.5707439246661716, train acc 0.48, test acc 0.4514
iter 549, avg loss train 1.6964022756920394, test loss 1.5478646272391519, train acc 0.47, test acc 0.4583
iter 550, avg loss train 1.6961503558995048, test loss 1.567533750353667, train acc 0.485, test acc 0.4411
iter 551, avg loss train 1.6957730009972056, test loss 1.6488306809773003, train acc 0.505, test acc 0.418
iter 552, avg loss train 1.6955086663251624, test loss 1.7425839272864647, train acc 0.41, test acc 0.4161
iter 553, avg loss train 1.6956098205171666, test loss 1.9047047835359903, train acc 0.42, test acc 0.3782
iter 554, avg loss train 1.6963785690411837, test loss 1.946183401340793, train acc 0.365, test acc 0.3975
iter 555, avg loss train 1.697013453529124, test loss 1.8757252353730212, train acc 0.385, test acc 0.3822
iter 556, avg loss train 1.697439931400477, test loss 1.8389754616177827, train acc 0.355, test acc 0.3982
